2018-09-11 15:52:06,972 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:06,973 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/src/main/resources
2018-09-11 15:52:06,974 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:06,975 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-11 15:52:08,088 [Worker-7: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/github/bonigarcia/webdrivermanager/3.0.0/webdrivermanager-3.0.0-sources.jar
2018-09-11 15:52:08,110 [Worker-7: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/github/bonigarcia/webdrivermanager/3.0.0/webdrivermanager-3.0.0-sources.jar
2018-09-11 15:52:08,121 [Worker-7: Download sources and javadoc] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for io.github.bonigarcia:webdrivermanager:3.0.0
2018-09-11 15:52:08,281 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:08,282 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/src/main/resources
2018-09-11 15:52:08,283 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:08,284 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-11 15:52:47,314 [Worker-20: Launching RCG_Demo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:47,315 [Worker-20: Launching RCG_Demo] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/src/main/resources
2018-09-11 15:52:47,317 [Worker-20: Launching RCG_Demo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:52:47,318 [Worker-20: Launching RCG_Demo] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-11 15:53:09,023 [Worker-18: Launching RCG_Demo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:53:09,024 [Worker-18: Launching RCG_Demo] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/src/main/resources
2018-09-11 15:53:09,025 [Worker-18: Launching RCG_Demo] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:53:09,026 [Worker-18: Launching RCG_Demo] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-11 15:54:13,283 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.rcgdirect.demo:com.rcgdirect.demo:0.0.1-SNAPSHOT @ /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/pom.xml.
2018-09-11 15:54:13,379 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-11 15:54:13,380 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tilekbekkadyrov/rcg_demo/com.rcgdirect.demo/src/main/resources
